created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls
2021-10-03 05:50:10+00:00,1444540257106636800,@universityofga Doesn’t the very best Dawg deserve a better quality water bowl than a cheap plastic food container?… https://t.co/1O1PeGmlPM,AthRetrogirl,Carol F🇺🇸,Fri Jul 10 18:05:36 +0000 2015,"[{'url': 'https://t.co/1O1PeGmlPM', 'expanded_url': 'https://twitter.com/i/web/status/1444540257106636800', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-10-03 05:50:04+00:00,1444540231797985282,"RT @5gyres: ""A new study investigates the fundamental links between climate change and marine plastic pollution, arguing that they have the…",AwareOceans,oceans aware,Tue Dec 29 12:17:11 +0000 2020,[]
2021-10-03 05:48:01+00:00,1444539718201327619,"RT @annacryptoo: 🚀NEW NFT PROJECT ON #CARDANO @CleanOceanNFT 🚀

🌊BUY NOW AND HELP SAVE THE OCEAN.🌊

Every mint $8.50 is donated towards cle…",Abylukas_2,🥀big win for you🙈,Tue Sep 07 02:56:09 +0000 2021,[]
2021-10-03 05:47:19+00:00,1444539539549265926,"@Paulmillsap4 Related thought: bottled water companies don't make water, they just make plastic bottles.",UKNetsFans,UK Nets Fans,Sat Jul 20 08:30:25 +0000 2019,[]
2021-10-03 05:46:57+00:00,1444539448327380992,RT @jamesvgingerich: 5 Amazing Innovations to Trap Plastic Trash Before it Reaches the Ocean.  (World Economic Forum) #Environment #Technol…,Emile2021,Markenzie Emile🇺🇸🇬🇺🇨🇦🇭🇹,Wed Jun 22 19:41:24 +0000 2011,[]
2021-10-03 05:45:46+00:00,1444539151244664835,"RT @ABC: NEIGHBORHOOD HERO: This Florida man took matters into his own hands, using a trash can to capture an alligator in front of a home…",zuchanya,zuchanya,Fri Jun 12 14:00:43 +0000 2009,[]
2021-10-03 05:44:53+00:00,1444538927830999040,RT @dimithryv: All my problems could be solved with money or another Frank Ocean album,trash_for_rm,Diego,Mon Jan 06 06:39:49 +0000 2020,[]
2021-10-03 05:42:02+00:00,1444538209573146627,@IGN Damn IGN and Gamespot keep trying to trash this movie but people are loving it. I had a blast!,River_Horror,River_Horror,Sat Sep 06 22:37:05 +0000 2014,[]
2021-10-03 05:37:53+00:00,1444537165614964740,@NaregDer @pitdesi @neildugal Just want to protect people on wasting there money on highly processed tap water sold… https://t.co/Odss9eSwKY,MartinRiese,Martin Riese,Sat Jun 27 01:07:52 +0000 2009,"[{'url': 'https://t.co/Odss9eSwKY', 'expanded_url': 'https://twitter.com/i/web/status/1444537165614964740', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-10-03 05:37:36+00:00,1444537096169934849,"Around the world, 1 million plastic drinking bottles are purchased every minute.
Instead of buying packaged water/b… https://t.co/7iQaCtRTwp",InWasterCo,Inwaster,Fri Sep 28 20:02:44 +0000 2018,"[{'url': 'https://t.co/7iQaCtRTwp', 'expanded_url': 'https://twitter.com/i/web/status/1444537096169934849', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-10-03 05:37:32+00:00,1444537080491790338,"RT @suicideLEOPARD: 9:00 AM - 2 pigeon eggs and 3 slices of squirrel bacon

12:00 PM - 1 roll of duck tape washed down with 2 glasses of po…",dewit4dale,Sam Wiggins,Tue Sep 28 21:15:01 +0000 2021,[]
2021-10-03 05:37:22+00:00,1444537037164630018,"RT @suicideLEOPARD: 9:00 AM - 2 pigeon eggs and 3 slices of squirrel bacon

12:00 PM - 1 roll of duck tape washed down with 2 glasses of po…",BrookeHoney3,SⁱᖇE͜͡𝕹,Mon May 31 20:39:10 +0000 2021,[]
2021-10-03 05:36:25+00:00,1444536797711769604,RT @mchooyah: I just ordered an ice water at breakfast. It came with a paper straw in a plastic cup. I might order a side of irony.,defrayne,LaxCoachJim 😜🥍,Sat Jul 21 04:42:26 +0000 2012,[]
